Type d'activité,Date,Favori,Titre,Distance,Calories,Durée,Fréquence cardiaque moyenne,Fréquence cardiaque maximale,TE aérobie,Cadence de vélo moyenne,Cadence de vélo maximale,Vitesse moyenne,Vitesse max,Ascension totale,Descente totale,Longueur moyenne des foulées,Rapport vertical moyen,Oscillation verticale moyenne,Temps de contact moyen avec le sol,Cadence de vélo moyenne,Cadence de vélo maximale,Normalized Power® (NP®),Equilibre G/D,Training Stress Score® (TSS®),Puissance moyenne maximale (20 min),Puissance moy.,Puissance max.,Difficulté,Constance,Nombre total de mouvements,SWOLF moyen,Fréquence moy. des coups,Total des répétitions,Temps de plongée,Température minimale,Intervalle à la surface,Décompression,Temps du meilleur circuit,Nombre de circuits,Température maximale,Fréquence respiratoire moyenne,Fréquence respiratoire minimale,Fréquence respiratoire maximale,Temps de déplacement,Temps écoulé,Altitude minimale,Altitude maximale
Cyclisme sur route,2023-03-04 07:32:06,false,"Marseille Cyclisme sur route","136,43","2.886","04:50:07","136","175","5,0","--","--","28,2","61,6","1.373","1.369","0,00","0,0","0,0","0","83","129","183","53% G / 47% D","346,6","222","172","631","0,0","0,0","20982","0","0","0","0:00","1,0","0:00","Non","04:50:06.53.3","1","21,0","31","14","49","04:49:20","05:34:05","14","504"
Cyclisme sur route,2023-03-03 11:15:49,false,"Marseille - Seuil 3x6","72,55","1.885","02:51:23","140","176","5,0","--","--","25,4","62,8","1.385","1.388","0,00","0,0","0,0","0","82","117","198","53% G / 47% D","233,8","207","183","633","0,0","0,0","12786","0","0","0","0:00","12,0","0:00","Non","01:01.08.9","8","20,0","33","17","47","02:49:36","02:54:05","41","364"
Cyclisme sur route,2023-03-01 11:18:54,false,"Marseille - Seuil 3x6","56,04","1.495","02:10:17","141","172","4,7","--","--","25,8","64,7","1.073","1.068","0,00","0,0","0,0","0","82","136","204","53% G / 47% D","188,6","207","189","605","0,0","0,0","9860","0","0","0","0:00","8,0","0:00","Non","04:55.13.1","7","18,0","34","17","50","02:09:01","02:12:33","55","338"
Vélo d'intérieur,2023-02-28 17:13:00,false,"Vélo elliptique","20,00","284","00:45:00","125","143","2,2","--","--","26,7","--","--","--","0,00","0,0","0,0","0","--","--","--","--","0,0","--","0","0","0,0","0,0","--","0","0","0","0:00","18,0","0:00","Non","29:43.34.8","1","19,0","31","23","39","00:00:00","00:29:43","--","--"
Cyclisme sur route,2023-02-25 07:29:40,false,"Marseille Cyclisme sur route","81,80","2.011","03:28:09","134","171","4,8","--","--","23,6","61,1","1.667","1.667","0,00","0,0","0,0","0","80","122","190","51% G / 49% D","249,8","235","175","688","0,0","0,0","13773","0","0","0","0:00","8,0","0:00","Non","03:28:09.00.4","1","18,0","32","15","47","03:27:50","03:44:48","17","364"
Cyclisme sur route,2023-02-24 10:43:16,false,"Marseille - FSM 5X5min","35,30","977","01:33:08","133","167","3,8","--","--","22,7","61,9","730","729","0,00","0,0","0,0","0","75","139","189","52% G / 48% D","110,8","186","175","477","0,0","0,0","6314","0","0","0","0:00","14,0","0:00","Non","01:00.00","17","21,0","31","17","43","01:30:58","01:33:08","57","333"
Vélo d'intérieur,2023-02-22 18:09:00,false,"Malakoff Vélo d'intérieur","30,00","655","01:03:21","136","172","3,8","--","--","28,4","10,3","788","789","0,00","0,0","0,0","0","85","--","--","--","0,0","--","180","0","0,0","0,0","--","0","0","0","0:00","0,0","0:00","Non","01:03:20.68.1","1","0,0","--","--","--","00:24:14","01:04:55","-94","121"
Vélo d'intérieur,2023-02-22 07:32:00,false,"FSM 6X2min HT","25,00","597","01:01:58","135","184","3,3","--","--","24,2","--","--","--","0,00","0,0","0,0","0","--","--","--","--","0,0","--","0","0","0,0","0,0","--","0","0","0","0:00","0,0","0:00","Non","00:58.19.2","21","0,0","--","--","--","00:00:00","01:02:07","--","--"
Cyclisme sur route,2023-02-20 10:14:04,false,"Marseille Cyclisme sur route","100,34","2.619","03:40:05","148","172","5,0","--","--","27,4","60,3","1.541","1.541","0,00","0,0","0,0","0","86","125","199","52% G / 48% D","268,1","228","187","829","0,0","0,0","18246","0","0","0","0:00","13,0","0:00","Non","03:40:04.90.7","1","21,0","35","19","48","03:40:01","03:41:33","11","475"
Cyclisme sur route,2023-02-18 13:53:14,false,"Marseille Cyclisme sur route","54,13","1.529","02:10:26","143","175","5,0","--","--","24,9","59,8","1.205","1.205","0,00","0,0","0,0","0","81","119","213","51% G / 49% D","182,2","245","198","560","0,0","0,0","9470","0","0","0","0:00","15,0","0:00","Non","02:10:26.39.8","1","21,0","34","13","45","02:10:23","02:12:01","41","374"
