Type d'activité,Date,Favori,Titre,Distance,Calories,Durée,Fréquence cardiaque moyenne,Fréquence cardiaque maximale,TE aérobie,Cadence de vélo moyenne,Cadence de vélo maximale,Vitesse moyenne,Vitesse max,Ascension totale,Descente totale,Longueur moyenne des foulées,Rapport vertical moyen,Oscillation verticale moyenne,Temps de contact moyen avec le sol,Cadence de vélo moyenne,Cadence de vélo maximale,Normalized Power® (NP®),Equilibre G/D,Training Stress Score® (TSS®),Puissance moyenne maximale (20 min),Puissance moy.,Puissance max.,Difficulté,Constance,Nombre total de coups de pédale,SWOLF moyen,Fréquence moy. des coups,Total des répétitions,Temps de plongée,Température minimale,Intervalle à la surface,Décompression,Temps du meilleur circuit,Nombre de circuits,Température maximale,Fréquence respiratoire moyenne,Fréquence respiratoire minimale,Fréquence respiratoire maximale,Temps de déplacement,Temps écoulé,Altitude minimale,Altitude maximale
Cyclisme sur route,2023-07-12 07:08:56,false,"Agde Cyclisme sur route","96,43","2.225","03:17:44","145","163","5,0","--","--","29,3","56,2","796","795","0,00","0,0","0,0","0","91","128","184","52% G / 48% D","167,3","203","177","530","0,0","0,0","17141","0","0","0","0:00","23,0","0:00","Non","03:17:43.93","1","34,0","36","22","47","03:17:37","03:17:56","1","250"
Cyclisme sur route,2023-07-09 14:37:58,false,"Morzine Cyclisme sur route","18,65","351","00:44:05","137","155","3,0","--","--","25,4","62,4","222","513","0,00","0,0","0,0","0","80","114","142","55% G / 45% D","22,0","163","142","404","0,0","0,0","2899","0","0","0","0:00","33,0","0:00","Non","44:05.32","1","41,0","32","20","40","00:44:00","00:45:49","660","1.166"
Cyclisme sur route,2023-07-09 07:08:56,false,"Vétraz-Monthoux Cyclisme sur route","156,01","4.437","06:38:35","154","172","5,0","--","--","23,5","70,9","4.140","3.618","0,00","0,0","0,0","0","81","128","191","52% G / 48% D","364,3","228","191","659","0,0","0,0","28319","0","0","0","0:00","18,0","0:00","Non","06:38:35.28","1","40,0","37","19","50","06:36:09","06:52:54","438","1.685"
Cyclisme sur route,2023-07-09 05:55:35,false,"Geneva Cyclisme sur route","8,27","147","00:25:35","72","72","0,4","--","--","19,4","37,2","58","37","0,00","0,0","0,0","0","73","137","98","55% G / 45% D","6,1","83","98","555","0,0","0,0","1533","0","0","0","0:00","18,0","0:00","Non","25:34.62","1","21,0","--","--","--","00:25:24","00:27:37","417","452"
Cyclisme sur route,2023-07-06 07:49:48,false,"Marseille - Seuil/fsm prog 3x8","43,88","1.064","01:40:25","143","173","4,3","--","--","26,2","56,1","790","784","0,00","0,0","0,0","0","79","121","203","53% G / 47% D","103,5","200","182","437","0,0","0,0","6968","0","0","0","0:00","22,0","0:00","Non","04:00.00","12","31,0","35","17","58","01:40:25","01:40:27","49","327"
Vélo d'intérieur,2023-07-04 06:56:00,false,"Malakoff - Seuil/fsm prog 3x8","28,00","565","01:00:04","139","189","4,0","--","--","28,0","6,9","411","411","0,00","0,0","0,0","0","--","--","--","--","0,0","--","0","0","0,0","0,0","--","0","0","0","0:00","0,0","0:00","Non","02:59.72","11","0,0","--","--","--","00:12:33","01:00:04","63","130"
Cyclisme sur route,2023-07-02 07:04:25,false,"Marseille Cyclisme sur route","107,23","2.547","04:16:18","135","164","5,0","--","--","25,1","62,0","1.710","1.723","0,00","0,0","0,0","0","78","131","179","54% G / 46% D","204,5","213","173","645","0,0","0,0","17372","0","0","0","0:00","20,0","0:00","Non","04:16:18.49","1","37,0","32","13","47","04:15:49","05:18:52","40","745"
Cyclisme sur route,2023-06-30 07:38:08,false,"Marseille - Seuil prog 3x8-1","30,58","787","01:13:05","137","168","3,8","--","--","25,1","59,5","616","614","0,00","0,0","0,0","0","76","111","211","53% G / 47% D","80,9","194","189","410","0,0","0,0","4826","0","0","0","0:00","20,0","0:00","Non","01:00.00","11","27,0","33","20","50","01:12:11","01:13:52","49","278"
Cyclisme sur route,2023-06-26 07:16:38,false,"Marseille - Seuil prog 3x8-1","37,09","948","01:26:14","140","172","4,1","--","--","25,8","57,3","733","725","0,00","0,0","0,0","0","79","121","214","53% G / 47% D","98,4","207","190","595","0,0","0,0","6048","0","0","0","0:00","22,0","0:00","Non","01:00.00","11","28,0","35","22","54","01:26:10","01:26:14","48","326"
Cyclisme sur route,2023-06-24 06:36:57,false,"Marseille Cyclisme sur route","157,91","4.262","06:28:04","144","166","5,0","--","--","24,4","61,9","3.219","3.210","0,00","0,0","0,0","0","81","118","195","53% G / 47% D","369,0","230","192","481","0,0","0,0","27046","0","0","0","0:00","19,0","0:00","Non","06:28:04.10","1","40,0","34","15","47","06:27:48","06:40:09","35","729"
